﻿fe,ID,dlv_cost,dlv_time,Handle,colors,MPN,Title,Vendor,Variant Image,Type,URL,Custom Collections,Shipping Cost,Delivery Time,Variant SKU,Variant Barcode,Variant Price,Variant Inventory Qty,Variant Cost,Image Src
,'0885909431281,0,2-4 Werktage,Computer_MAGSAFE_POWER_ADAPTER_45W,Weiß,MC747Z/A,Apple Computer MAGSAFE NETZTEIL 45W MC747Z/A,Apple,https://bosaverna.de/cdn/shop/files/1080x1080-Bosaverna-img48.jpg?v=1776296471&width=600,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-45w-magsafe,Apple Akku & Ladegerät,0,4,'0885909431281,'0885909431281,32.99,100,,https://bosaverna.de/cdn/shop/files/1080x1080-Bosaverna-img48.jpg?v=1776296471&width=600
,'0885909611607,0,2-4 Werktage,MagSafe_2_45W_Power_Adapter_MD592Z_A,Weiß,MD592Z/A,Apple Original 45W MagSafe 2 Netzteil MD592Z/A,Apple,https://bosaverna.de/cdn/shop/files/Apple45WMagSafe2PowerAdapter.png?v=1773467836&width=600,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-45w-magsafe-2-power-adapter-originalverpackt,Apple Akku & Ladegerät,0,4,'0885909611607,'0885909611607,47.99,100,,https://bosaverna.de/cdn/shop/files/Apple45WMagSafe2PowerAdapter.png?v=1773467836&width=600
,'0194252646298,0,2-4 Werktage,apple-67w-adapter?_pos=1&_sid=8bd08c02c&_ss=r,Weiß,MKU63ZM/A,Apple 67W USB-C Netzteil MKU63ZM/A,Apple,https://bosaverna.de/cdn/shop/files/Apple_67W_USB-C_Power_Adapter.png?v=1771101875&width=800,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-67w-adapter?_pos=1&_sid=8bd08c02c&_ss=r,Apple Akku & Ladegerät,0,4,'0194252646298,'0194252646298,54.99,100,,https://bosaverna.de/cdn/shop/files/Apple_67W_USB-C_Power_Adapter.png?v=1771101875&width=800
,'0195949376511,0,2-4 Werktage,apple-30w-usb-c-power-adapter-originalverpackt,Weiß,MW2G3ZM/A,Apple 30W USB-C Netzteil MW2G3ZM/A,Apple,https://bosaverna.de/cdn/shop/files/APPLE30WUSB-CPOWERADAPTEREUSPEC.webp?v=1770644087&width=600,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-30w-usb-c-power-adapter-originalverpackt,Apple Akku & Ladegerät,0,4,'0195949376511,'0195949376511,31.99,100,,https://bosaverna.de/cdn/shop/files/APPLE30WUSB-CPOWERADAPTEREUSPEC.webp?v=1770644087&width=600
,'0194252711248,0,2-4 Werktage,Original-Apple-Watch-MagSafe-Ladegerät-USB-C-TYP-C-Smartwach-Netzteil-Magnetisch,Weiß,MLWJ3ZM/A,Apple Watch magnetisches Schnellladegerät auf USB-C MLWJ3ZM/A,Apple,https://bosaverna.de/cdn/shop/files/apple-watch-magnetic-charging-1m-2025.jpg?v=1772270217&width=600,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-watch-magnetisches-ladekabel-weiss-1m-originalverpackt-copy,Apple Akku & Ladegerät,0,4,'0194252711248,'0194252711248,18.99,100,,https://bosaverna.de/cdn/shop/files/apple-watch-magnetic-charging-1m-2025.jpg?v=1772270217&width=600
,'0195949052521,0,2-4 Werktage,jbl-tune-510bt-weiss-copy,Weiß,MTJV3HN/A,Apple AirPods Pro 2. Generation (USB-C) MTJV3HN/A,Apple,https://bosaverna.de/cdn/shop/files/AIRPODSPRO2ndgenerationLightning_REFURBISHED.png?v=1776905914&width=600,Apple Akku & Ladegerät,https://bosaverna.de/products/jbl-tune-510bt-weiss-copy,Apple Akku & Ladegerät,0,4,'0195949052521,'0195949052521,139.99,100,,https://bosaverna.de/cdn/shop/files/AIRPODSPRO2ndgenerationLightning_REFURBISHED.png?v=1776905914&width=600
,'0194253397472 ,0,2-4 Werktage,airpods-pro-2nd-generation-2023-magsafe-case-usb-c-refurbished-copy,Weiß,MQD83ZM/A,Apple AirPods Pro 2. Generation (MQD83ZM/A),Apple,https://bosaverna.de/cdn/shop/files/AIRPODSPRO2ndgenerationLightning_REFURBISHED_front.jpg?v=1776905136&width=600,Apple Akku & Ladegerät,https://bosaverna.de/products/airpods-pro-2nd-generation-2023-magsafe-case-usb-c-refurbished-copy,Apple Akku & Ladegerät,0,4,'0194253397472 ,'0194253397472 ,136.99,100,,https://bosaverna.de/cdn/shop/files/AIRPODSPRO2ndgenerationLightning_REFURBISHED_front.jpg?v=1776905136&width=600
,'0190199291102,0,2-4 Werktage,apple-watch-magnetisches-ladekabel-weiss-1m,Weiß,MX2E2ZM/A,Apple Watch Magnetisches Ladekabel (1 m) MX2E2ZM/A,Apple,https://bosaverna.de/cdn/shop/files/apple-watch-magnetic-charging-1m-2025.jpg?v=1772270217&width=800,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-watch-magnetisches-ladekabel-weiss-1m,Apple Akku & Ladegerät,0,4,'0190199291102,'0190199291102,16.99,100,,https://bosaverna.de/cdn/shop/files/apple-watch-magnetic-charging-1m-2025.jpg?v=1772270217&width=800
,'0195950637076,0,2-4 Werktage,apple-magsafe-25-watt-charger-usb-c-2m,Weiß,MGDM4ZM/A,Apple MagSafe Ladegerät 25W (2 m) MGDM4ZM/A,Apple,https://cdn.shopify.com/s/files/1/0701/1133/0568/files/APPLE70WUSB-CADAPTER.png?v=1784470323,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-magsafe-25-watt-charger-usb-c-2m,Apple Akku & Ladegerät,0,4,'0195950637076,'0195950637076,37.99,100,,https://cdn.shopify.com/s/files/1/0701/1133/0568/files/APPLE70WUSB-CADAPTER.png?v=1784470323
,'0195949590696,0,2-4 Werktage,apple-magsafe-25-watt-charger-usb-c-2m,Weiß,MX6Y3ZM/A,Apple MagSafe Ladegerät 2 m MX6Y3ZM/A,Apple,https://cdn.shopify.com/s/files/1/0701/1133/0568/files/APPLE70WUSB-CADAPTER.png?v=1784470323,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-magsafe-25-watt-charger-usb-c-2m,Apple Akku & Ladegerät,0,4,'0195949590696,'0195949590696,37.99,100,,https://cdn.shopify.com/s/files/1/0701/1133/0568/files/APPLE70WUSB-CADAPTER.png?v=1784470323
,'4260723914275,0,2-4 Werktage,apple-20-w-usb-c-power-adapter-60w-usb-c-auf-lightning-kabel-1-m-bundle-fast-charge-weiss-originalverpackt,Weiß,MUQ93ZM/A,Apple 20-W-USB-C-Netzteil + 60-W-USB-C-auf-Lightning-Kabel (1 m) ,Apple,https://bosaverna.de/cdn/shop/files/Apple_20W_USB-C_POWER_ADAPTER_USB-C_60W_TO_LIGHTNING_CABLE_-_front.png?v=1781456168&width=600,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-20-w-usb-c-power-adapter-60w-usb-c-auf-lightning-kabel-1-m-bundle-fast-charge-weiss-originalverpackt,Apple Akku & Ladegerät,0,4,'4260723914275,'4260723914275,26.99,100,,https://bosaverna.de/cdn/shop/files/Apple_20W_USB-C_POWER_ADAPTER_USB-C_60W_TO_LIGHTNING_CABLE_-_front.png?v=1781456168&width=600
,'4260723913384,0,2-4 Werktage,apple-20w-usb-c-power-adapter-2m-usb-c-to-lightning-cable,Weiß,MX0K2ZM/A,Apple 20W USB-C Netzteil + USB-C auf Lightning Kabel 2m – Bundle,Apple,https://bosaverna.de/cdn/shop/files/Screenshot_10.jpg?v=1771922808&width=600,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-20w-usb-c-power-adapter-2m-usb-c-to-lightning-cable,Apple Akku & Ladegerät,0,4,'4260723913384,'4260723913384,23.99,100,,https://bosaverna.de/cdn/shop/files/Screenshot_10.jpg?v=1771922808&width=600
,'749166652899,0,2-4 Werktage,apple-20w-usb-c-power-adapter-usb-c-240w-to-lightning-cable-copy,Weiß,MUVV3ZM/A,20-W-USB-C-Netzteil + USB-C 60-W-auf-Lightning-Kabel,Apple,https://bosaverna.de/cdn/shop/files/1024x1024-1.jpg?v=1771101191&width=800,Apple Akku & Ladegerät,https://bosaverna.de/products/apple-20w-usb-c-power-adapter-usb-c-240w-to-lightning-cable-copy,Apple Akku & Ladegerät,0,4,'749166652899,'749166652899,26.99,100,,https://bosaverna.de/cdn/shop/files/1024x1024-1.jpg?v=1771101191&width=800
