Winkelproductcode,Titel,Beschrijving,Prijs,URL,Afbeelding,EAN,Voorraad,Levertijd_nl,Weergave,Merk,Categorie,Product maat,Model code,Variant code,Extra afbeeldingen,Kleur,Materiaal,Geslacht,Leeftijdsgroep
DE449651533,Apple 45W MagSafe Netzteil für MacBook Air – Original,"Das Apple 45W MagSafe Netzteil wurde speziell für das MacBook Air entwickelt und eignet sich ideal als zusätzliches Ladegerät für Zuhause oder das Büro. Der magnetische MagSafe-Anschluss sorgt dafür, dass sich das Kabel sofort löst, falls jemand darüber stolpert – so kann Ihr Laptop nicht vom Tisch fallen. Zuverlässig, sicher und benutzerfreundlich.",32.99,https://bosaverna.de/products/apple-45w-magsafe,https://bosaverna.de/cdn/shop/files/1080x1080-Bosaverna-img48.jpg?v=1776296471&width=800,8719396912126,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651533,DE449651533,,,,Unisex,Volwassen
DE449651534,Apple 45W MagSafe 2 Netzteil für MacBook Air – Original,"Dieses Apple 45W MagSafe 2 Netzteil ist speziell für das MacBook Air entwickelt und verfügt über einen magnetischen DC-Anschluss. Dieser verhindert, dass Ihr Laptop herunterfällt, falls jemand über das Kabel stolpert, und reduziert den Kabelverschleiß für eine längere Lebensdauer. Eine integrierte Kontrollleuchte zeigt an, wann das Netzteil angeschlossen ist und lädt.",47.99,https://bosaverna.de/products/apple-45w-magsafe-2-power-adapter-originalverpackt,https://bosaverna.de/cdn/shop/files/Apple45WMagSafe2PowerAdapter.png?v=1773467836&width=600,885909611607,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651534,DE449651534,,,,Unisex,Volwassen
DE449651515,Original Apple USB-C Netzteil – MacBook Ladegerät – 67 W – Weiß,"Das Apple 67-Watt-Netzteil mit USB-C-Anschluss lädt Ihre Apple-Geräte schnell, effizient und sicher. Mit 67 Watt Leistung eignet es sich unter anderem für MacBook-Modelle, iPads und iPhones. Dank seines kompakten und leichten Designs ist es ideal für zu Hause und unterwegs.",54.99,https://bosaverna.de/products/apple-67w-adapter?_pos=1&_sid=8bd08c02c&_ss=r,https://bosaverna.de/cdn/shop/files/Apple_67W_USB-C_Power_Adapter.png?v=1771101875&width=800,194252646298,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651515,DE449651515,,,,Unisex,Volwassen
DE449651521,Apple 30W USB-C Netzteil - Originalverpackung,"Entdecken Sie den Komfort des Apple 30W USB-C Netzteils – der ideale Partner für Ihre Apple Geräte. Das kompakte und elegante Design passt perfekt zur Apple Ästhetik und eignet sich für unterwegs und zu Hause. Mit 30 Watt Leistung laden Sie Ihr iPhone, iPad oder Zubehör schnell und zuverlässig. Lieferung in Originalverpackung.",31.99,https://bosaverna.de/products/apple-30w-usb-c-power-adapter-originalverpackt,https://bosaverna.de/cdn/shop/files/APPLE30WUSB-CPOWERADAPTEREUSPEC.webp?v=1770644087&width=600,190199796898,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651521,DE449651521,,,,Unisex,Volwassen
DE449651534D,Apple MagSafe 2 45W Netzteil MD592LL/A - Original,"Dieses Apple MagSafe 2 45W Netzteil (MD592LL/A) verfügt über einen magnetischen DC-Anschluss, der verhindert, dass Ihr MacBook Air herunterfällt, falls jemand über das Kabel stolpert. Der Anschluss reduziert außerdem den Kabelverschleiß und verlängert so die Lebensdauer. Eine Kontrollleuchte zeigt den Ladestatus an.",47.99,https://bosaverna.de/products/apple-45w-magsafe-2-power-adapter-originalverpackt,https://bosaverna.de/cdn/shop/files/Apple45WMagSafe2PowerAdapter.png?v=1773467836&width=600,4055655184892,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651534,DE449651534D,,,,Unisex,Volwassen
DE449651620,Magnetisches Schnellladegerät für Apple Watch auf USB-C-Kabel – 1 m,"Mit diesem Kabel laden Sie Ihre Apple Watch ganz einfach auf. Die Lösung kombiniert MagSafe-Technologie mit induktivem Laden. Es handelt sich um ein vollständig geschlossenes System ohne freiliegende Kontaktstellen.

Und die Bedienung ist kinderleicht: Halten Sie den Stecker einfach an die Rückseite Ihrer Watch – er rastet automatisch ein.",18.99,https://bosaverna.de/products/apple-watch-magnetisches-ladekabel-weiss-1m-originalverpackt-copy,https://bosaverna.de/cdn/shop/files/apple-watch-magnetic-charging-1m-2025.jpg?v=1772270217&width=600,194253939276,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651620,DE449651620,,,,Unisex,Volwassen
DEE8512831158,Apple AirPods Pro 2 (2. Generation) – Generalüberholt – Wie neu,Diese Apple AirPods Pro (2. Generation) wurden professionell aufbereitet und sind neuwertig. Das Produkt ist voll funktionsfähig; die Original-Schutzfolie kann fehlen und die Verpackung leichte Gebrauchsspuren aufweisen oder neu verpackt worden sein. Sämtliches Zubehör ist enthalten. Genießen Sie erstklassigen Apple-Sound zum erschwinglichen Preis.,139.99,https://bosaverna.de/products/jbl-tune-510bt-weiss-copy,https://bosaverna.de/cdn/shop/files/AIRPODSPRO2ndgenerationLightning_REFURBISHED.png?v=1776905914&width=600,195949052637,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE8512831158,DEE8512831158,,,,Unisex,Volwassen
DEE85128311591,Apple AirPods Pro 2 mit MagSafe-Ladecase (Lightning) – Generalüberholt,"Die überarbeiteten Apple AirPods Pro (2. Generation) bieten eine bis zu doppelt so gute aktive Geräuschunterdrückung. Adaptive Transparenz filtert Umgebungsgeräusche heraus, während personalisierter 3D-Sound für ein immersives Hörerlebnis sorgt. Eine Akkuladung ermöglicht bis zu 6 Stunden Hörgenuss. Dank der Touch-Steuerung lässt sich die Lautstärke bequem per Wischgeste anpassen. Das aktualisierte Ladecase mit „Wo ist?“-Funktion, integriertem Lautsprecher und Handschlaufe rundet das Paket ab.",136.99,https://bosaverna.de/products/airpods-pro-2nd-generation-2023-magsafe-case-usb-c-refurbished-copy,https://bosaverna.de/cdn/shop/files/AIRPODSPRO2ndgenerationLightning_REFURBISHED_front.jpg?v=1776905136&width=600,194253397472,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311591,DEE85128311591,,,,Unisex,Volwassen
DEE85128311592,Apple Watch Magnetisches Ladekabel – Ladekabel – 1 m – Geeignet für Apple Watch,"Magnetisches Ladekabel für die Apple Watch (1 m)
Mit dem magnetischen Ladekabel für die Apple Watch wird das Laden Ihrer Apple Watch zum Kinderspiel. Dank der innovativen MagSafe-Technologie in Kombination mit induktivem Laden können Sie Ihre Uhr ganz einfach und ohne störende Kontaktstellen aufladen.

Das vollständig umschlossene Kabel gewährleistet ein sicheres und zuverlässiges Ladeerlebnis. Die Anwendung ist kinderleicht: Halten Sie den Stecker einfach an die Rückseite Ihrer Apple Watch – er rastet automatisch ein. So ist jederzeit eine sichere Verbindung gewährleistet und Ihre Uhr wird schnell und effizient geladen.

Vorteile:

Einfache Anwendung dank automatischer magnetischer Befestigung
Sicher und zuverlässig durch das geschlossene System
Kompatibel mit verschiedenen Apple Watch-Modellen
Dieses Ladegerät ist ein unverzichtbares Zubehör für jeden Apple Watch-Nutzer und bietet eine praktische Lösung für den täglichen Gebrauch.",16.99,https://bosaverna.de/products/apple-watch-magnetisches-ladekabel-weiss-1m,https://bosaverna.de/cdn/shop/files/apple-watch-magnetic-charging-1m-2025.jpg?v=1772270217&width=600,195949397066,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311592,DEE85128311592,,,,Unisex,Volwassen
DEE85128311595,Apple MagSafe USB-C Ladegerät 25W – iPhone – 2 Meter,"Mit dem Apple MagSafe Ladegerät ist kabelloses Laden so einfach wie nie zuvor. Dank der integrierten Magnete lässt sich Ihr iPhone 12 oder neuer präzise an der richtigen Stelle befestigen, sodass Sie immer die optimale Ladegeschwindigkeit erreichen. Schließen Sie das Ladegerät an ein 30-W-Netzteil an und profitieren Sie von blitzschnellem kabellosem Laden mit bis zu 25 W Leistung.

Schnelleres Laden mit MagSafe
Das MagSafe Ladegerät bietet das schnellste kabellose Ladeerlebnis für iPhone 12 und neuere Modelle. In Kombination mit dem separat erhältlichen 20-W- oder 30-W-USB-C-Netzteil laden Sie Ihr Gerät mit bis zu 15 W. So ist Ihr iPhone in etwa 30 Minuten zu 50 % geladen. Ideal, wenn Sie schnell wieder unterwegs sein müssen. Auch für ältere Modelle geeignet
Obwohl das MagSafe Ladegerät speziell für die iPhone 12-, 13-, 14-, 15- und 16-Serie entwickelt wurde, ist es dank Qi2- und Qi-Kompatibilität auch für ältere iPhones ab dem iPhone 8 und AirPods mit kabellosem Ladecase geeignet. So können Sie Geräte mit bis zu 7,5 W aufladen.

Erhältlich in zwei Längen
Das MagSafe Ladegerät ist mit einem 1 oder 2 Meter langen Kabel erhältlich, sodass Sie die für Ihre Bedürfnisse passende Länge wählen können.",37.99,https://bosaverna.de/products/apple-magsafe-25-watt-charger-usb-c-2m,https://bosaverna.de/cdn/shop/files/Apple_MGDM4ZM_3_600x600_0600325e-7fa9-4000-b4c5-c12354055e8d.webp?v=1771924810&width=600,195949590696,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311595,DEE85128311595,,,,Unisex,Volwassen
