Winkelproductcode,Titel,Beschrijving,Prijs,URL,Afbeelding,EAN,Voorraad,Levertijd_nl,Weergave,Merk,Categorie,Product maat,Model code,Variant code,Extra afbeeldingen,Kleur,Materiaal,Geslacht,Leeftijdsgroep
DE449651534,Apple 45W MagSafe 2 Voedingsadapter MacBook Air - Origineel,"Deze Apple 45W MagSafe 2-voedingsadapter (AC-adapter) is gemaakt voor de MacBook Air en voorzien van een magnetische DC-connector. Deze connector voorkomt dat je laptop valt als er over het snoer gestruikeld wordt en vermindert slijtage aan de kabel, voor een langere levensduur. Een ingebouwd indicatielampje laat zien wanneer de adapter is aangesloten en oplaadt.",47.99,https://bosaverna.de/nl/products/apple-45w-magsafe-2-power-adapter-originalverpackt,https://bosaverna.de/cdn/shop/files/Apple45WMagSafe2PowerAdapter.png?v=1773467836&width=600,885909611607,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651534,DE449651534,,,,Unisex,Volwassen
DE449651515,Apple Originele USB-C Power Adapter - MacBook oplader - 67W - Wit,"De Apple 67W voedingsadapter met USB-C-poort biedt snel, efficient en veilig opladen voor je Apple-apparaten. Met 67 watt vermogen is deze adapter geschikt voor onder andere MacBook-modellen, iPad en iPhone. Compact en lichtgewicht ontwerp, ideaal voor thuisgebruik en onderweg.",54.99,https://bosaverna.de/nl/products/apple-67w-adapter?_pos=1&_sid=8bd08c02c&_ss=r,https://bosaverna.de/cdn/shop/files/Apple_67W_USB-C_Power_Adapter.png?v=1771101875&width=800,194252646298,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651515,DE449651515,,,,Unisex,Volwassen
DE449651521,Apple 30W USB-C Voedingsadapter - Origineel Verpakt,"Ontdek het gemak van de Apple 30W USB-C-voedingsadapter, de ideale partner voor je Apple-apparaten. Het compacte en stijlvolle ontwerp past naadloos bij de Apple esthetiek en is geschikt voor onderweg of thuis. Met 30 watt vermogen laad je iPhone, iPad of accessoires snel en betrouwbaar op. Geleverd in originele verpakking.",31.99,https://bosaverna.de/nl/products/apple-30w-usb-c-power-adapter-originalverpackt,https://bosaverna.de/cdn/shop/files/APPLE30WUSB-CPOWERADAPTEREUSPEC.webp?v=1770644087&width=600,190199796898,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651521,DE449651521,,,,Unisex,Volwassen
DE449651534D,Apple MagSafe 2 45W Voedingsadapter MD592LL/A - Origineel,"Deze Apple MagSafe 2 45W-voedingsadapter (MD592LL/A) is voorzien van een magnetische DC-connector die voorkomt dat je MacBook Air valt als er over het snoer gestruikeld wordt. De connector vermindert bovendien slijtage aan de kabel voor een langere levensduur, met een indicatielampje dat de oplaadstatus toont.",47.99,https://bosaverna.de/nl/products/apple-45w-magsafe-2-power-adapter-originalverpackt,https://bosaverna.de/cdn/shop/files/Apple45WMagSafe2PowerAdapter.png?v=1773467836&width=600,4055655184892,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651534,DE449651534D,,,,Unisex,Volwassen
DE449651620,Apple Watch Magnetische Snelle Oplader naar USB-C Kabel - 1m,"Met deze kabel laad je je Apple Watch heel eenvoudig op. In deze oplossing wordt MagSafe-technologie
gecombineerd met inductief opladen. Het is een volledig gesloten systeem zonder open contactpunten.
En het werkt heel eenvoudig. Als je de connector bij de achterkant van je Watch houdt, klikt hij
automatisch op de juiste plaats.",18.99,https://bosaverna.de/nl/products/apple-watch-magnetisches-ladekabel-weiss-1m-originalverpackt-copy,https://bosaverna.de/cdn/shop/files/apple-watch-magnetic-charging-1m-2025.jpg?v=1772270217&width=600,194253939276,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651620,DE449651620,,,,Unisex,Volwassen
DEE8512831158,Apple AirPods Pro 2 (2e generatie) Refurbished - Like New,Deze Apple AirPods Pro (2e generatie) zijn professioneel gereviseerd (refurbished) en verkeren in zo goed als nieuwe staat. Het product is volledig functioneel; de originele beschermfolie kan ontbreken en de verpakking kan lichte gebruikssporen vertonen of opnieuw zijn verpakt. Alle accessoires zijn aanwezig. Een voordelige manier om te genieten van premium Apple-geluidskwaliteit.,139.99,https://bosaverna.de/nl/products/jbl-tune-510bt-weiss-copy,https://bosaverna.de/cdn/shop/files/AIRPODSPRO2ndgenerationLightning_REFURBISHED.png?v=1776905914&width=600,195949052637,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE8512831158,DEE8512831158,,,,Unisex,Volwassen
DEE85128311591,Apple AirPods Pro 2 met MagSafe Case (Lightning) - Refurbished,"De Apple AirPods Pro (2e generatie) zijn gereviseerd (refurbished) en beschikken over tot 2x betere actieve ruisonderdrukking. Adaptieve transparantie filtert omgevingsgeluid, terwijl gepersonaliseerde 3D-audio voor een meeslepende luisterervaring zorgt. Een volledige lading biedt tot 6 uur luistertijd. Met touch-bediening pas je het volume eenvoudig aan met een veegbeweging. De vernieuwde oplaadcase met Zoek Mijn-ondersteuning, ingebouwde speaker en polsbandlus maakt het geheel compleet.",136.99,https://bosaverna.de/nl/products/airpods-pro-2nd-generation-2023-magsafe-case-usb-c-refurbished-copy,https://bosaverna.de/cdn/shop/files/AIRPODSPRO2ndgenerationLightning_REFURBISHED_front.jpg?v=1776905136&width=600,194253397472,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311591,DEE85128311591,,,,Unisex,Volwassen
DEE85128311592,Apple - Watch Magnetic Charging Cable - Oplaadkabel - 1 m - Geschikt voor Apple Watch,"Apple Watch Magnetic Charging Cable (1 m)
Met de Apple Watch Magnetic Charging Cable wordt het opladen van je Apple Watch een moeiteloze ervaring. Deze kabel maakt gebruik van innovatieve MagSafe-technologie in combinatie met inductief laden, waardoor je je horloge eenvoudig kunt opladen zonder gedoe met open contactpunten.

De kabel is volledig gesloten, wat zorgt voor een veilige en betrouwbare oplaadervaring. Het gebruik is heel eenvoudig: houd de connector bij de achterkant van je Apple Watch en deze klikt automatisch op de juiste plaats. Dit zorgt ervoor dat je altijd verzekerd bent van een goede verbinding, waardoor je horloge snel en efficiënt wordt opgeladen.

Voordelen:
Eenvoudig in gebruik door automatische magnetische bevestiging
Veilig en betrouwbaar door het gesloten systeem
Compatibel met verschillende Apple Watch-modellen
Deze oplader is een essentieel accessoire voor elke Apple Watch-gebruiker en biedt een praktische oplossing voor dagelijks gebruik.",16.99,https://bosaverna.de/nl/products/apple-watch-magnetisches-ladekabel-weiss-1m,https://bosaverna.de/cdn/shop/files/apple-watch-magnetic-charging-1m-2025.jpg?v=1772270217&width=600,195949397066,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311592,DEE85128311592,,,,Unisex,Volwassen
DEE85128311595,Apple MagSafe USB-C Oplader 25W- iPhone - 2 Meter,"Met de Apple MagSafe Oplader wordt draadloos opladen eenvoudiger dan ooit. Dankzij de ingebouwde magneten klik je je iPhone 12 of nieuwer direct op de juiste plek, waardoor je altijd verzekerd bent van een optimale laadsnelheid. Sluit de oplader aan op een 30 W lichtnetadapter, en je geniet van razendsnel draadloos opladen met maximaal 25 W vermogen.

Sneller opladen met MagSafe
De MagSafe Oplader biedt de snelste draadloze oplaadervaring voor iPhone 12 en nieuwere modellen. In combinatie met de USB-C-lichtnetadapter van 20 W of 30 W (apart verkrijgbaar) laad je je toestel op met maximaal 15 W, zodat je iPhone binnen ongeveer 30 minuten alweer tot 50% is opgeladen. Perfect voor wanneer je snel weer onderweg moet.

Ook geschikt voor oudere modellen
Hoewel de MagSafe Oplader speciaal is ontworpen voor de iPhone 12, 13, 14, 15 en 16-serie, is hij dankzij Qi2- en Qi-compatibiliteit ook geschikt voor oudere iPhones, vanaf de iPhone 8, en AirPods met draadloze oplaadcase. Hiermee kun je apparaten opladen met maximaal 7,5 W.

Verkrijgbaar in twee lengtes
De MagSafe Oplader is beschikbaar met een kabel van 1 of 2 meter, zodat je zelf kunt kiezen wat het beste past bij jouw gebruik.",37.99,https://bosaverna.de/nl/products/apple-magsafe-25-watt-charger-usb-c-2m,https://bosaverna.de/cdn/shop/files/Apple_MGDM4ZM_3_600x600_0600325e-7fa9-4000-b4c5-c12354055e8d.webp?v=1771924810&width=600,195949590696,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311595,DEE85128311595,,,,Unisex,Volwassen
DEE85128311598,"Apple 20 W USB-C voedingsadapter + USB-C op Lightning-kabel 2m – bundel | Snelladen, Wit (Origineelverpakt)","Apple 20 W USB-C voedingsadapter + USB-C op Lightning-kabel 2m – bundel | Snelladen, Wit (Origineelverpakt)",23.99,https://bosaverna.de/nl/products/apple-20w-usb-c-power-adapter-2m-usb-c-to-lightning-cable,https://bosaverna.de/cdn/shop/files/Screenshot_10.jpg?v=1771922808&width=600,4260723913384,20,2-5 Werkdagen,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311598,DEE85128311598,,,,Unisex,Volwassen
